timestamp,tweet_text,username,image,followers_count
Mon Jul 08 04:59:16 +0000 2019,I used to be intj but I must’ve been lying to myself all those years. I am apparently ESTP,MatticusTheWise,http://pbs.twimg.com/profile_images/1146829696371478529/CRMwfHAe_normal.jpg,33
Mon Jul 01 20:30:45 +0000 2019,Sometimes I get very into figuring out my best colors (usually when I am tired of my whole wardrobe). Discovering t… https://t.co/qiy2mNKaKc,meandertail,http://pbs.twimg.com/profile_images/1145807964105773056/ilKjGWxl_normal.jpg,977
Sat Jun 29 19:19:00 +0000 2019,This settles it once and for all. I am definitely an ESTP.  Except the smoking part... replace that with food.… https://t.co/dvpkVvKecT,MsWired,http://pbs.twimg.com/profile_images/1147294733179523072/F9D72kYQ_normal.jpg,5679
