username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2012-08-23 13:03;0;0;"@introvertedN @_mar_issa Ok. You did your homework. I am an ISTJ but only slightly based on my scores. I didn't score more than 15% in any";;@introvertedN @_mar_issa;;"238728111846477827";https://twitter.com/jazy736/status/238728111846477827
;2012-08-22 13:36;0;0;"@Feebe09 @langers81 I said "if". I am an ISTJ . aka emotional intelligence of a peanut! ;)";;@Feebe09 @langers81;;"238374073581830144";https://twitter.com/smishpixie/status/238374073581830144
;2012-08-21 15:27;0;0;"apparently, I am an ISTJ personality type";;;;"238039607428657152";https://twitter.com/asoftdragon/status/238039607428657152
;2012-08-12 04:50;0;0;"yap RT @B_zanie : personality test?RT @fBownz : I just found out that I am an ISTJ";;@B_zanie @fBownz;;"234617771974074368";https://twitter.com/fBownz/status/234617771974074368
;2012-08-12 04:49;0;0;"personality test?RT @fBownz : I just found out that I am an ISTJ";;@fBownz;;"234617708157755392";https://twitter.com/B_zanie/status/234617708157755392
;2012-08-12 04:42;0;0;"I just found out that I am an ISTJ";;;;"234615928812367872";https://twitter.com/fBownz/status/234615928812367872
;2012-08-09 02:40;0;0;"I Am an ( ISTJ ) according to MBTI which is : introvert, sensing , thinker and judging person. :)";;;;"233498019553763328";https://twitter.com/EmeyEmarled2/status/233498019553763328
;2012-08-03 08:04;0;0;"ouh. just took the personality test yunyun posted on her blog and i am an ISTJ .";;;;"231405281328914433";https://twitter.com/ticklememinho/status/231405281328914433
;2012-08-03 00:58;0;0;"Oh goodness. Apparently I am an ISTJ (when did that happen?) and want an INTJ. @lanalana";;@lanalana;;"231298073601650688";https://twitter.com/TrojanTopher/status/231298073601650688
;2012-07-31 05:36;0;0;"Just spent lunch doing free personality tests. I am an ISTJ ...";;;;"230280779962400768";https://twitter.com/tinamreynolds/status/230280779962400768
;2012-07-25 13:19;0;0;"@sl_problem I always love MBTI for student leaders. I am an ISTJ - unusual in student affairs, I am told! :)";;@sl_problem;;"228222957770661889";https://twitter.com/AmyFerree/status/228222957770661889
;2012-07-24 13:49;0;0;"I am an ISTJ .";;;;"227868033304109056";https://twitter.com/snez/status/227868033304109056
;2012-07-20 19:26;0;0;"“ @JaiGregg : New Myers Briggs Results are in.. I am officially an ISTJ ” SAME";;@JaiGregg;;"226503499725291520";https://twitter.com/Eitel10/status/226503499725291520
;2012-07-12 14:44;0;0;"According to my profile I am now an INTJ, which I must say seems more accurate than my previous ISTJ assertions. #MBTI";;;#MBTI;"223533293239414784";https://twitter.com/Violafaithe90/status/223533293239414784
;2012-07-11 05:45;0;0;"Took the test again, @merfairy94 , and now it's says I am an ISTJ ... :S #confused";;@merfairy94;#confused;"223035174408040450";https://twitter.com/NouraAlRashidi/status/223035174408040450
;2012-07-10 09:18;0;0;"I am an ISTJ according to Myers-Briggs Type Indicator";;;;"222726445745717248";https://twitter.com/ksaade/status/222726445745717248
;2012-07-09 20:04;0;0;"The personality assessment thingummy says I am an " ISTJ " - is that good? No idea. Some of the questions were...odd. Not sure I did it right.";;;;"222526573813841920";https://twitter.com/literaticat/status/222526573813841920
;2012-06-28 15:54;0;0;"I am definitely an ISTJ personality! Just took the most accurate test. Aahaah lol";;;;"218477455487406080";https://twitter.com/JustxNina/status/218477455487406080
;2012-06-28 15:34;0;0;"I am an ISTJ person.";;;;"218472393683906561";https://twitter.com/sofaritsEmery/status/218472393683906561
