timestamp,tweet_text,username,image,followers_count
2019-06-25 23:53:39,b'@EdLatimore My late mother was an ENTJ. I am an ENTJ. My daughter is an ENTJ. We have sensitivity to emotions but little tolerance for people. We may not be popular but we get shit done.',b'RassGlass',http://pbs.twimg.com/profile_images/1124621789982810119/ajvbJb-u_normal.jpg,111
2019-06-25 18:08:22,"b'@EdLatimore I am an ENTJ and fit the description pretty well. That said, I was not always this person. I evolved to be an ENTJ.'",b'J_Immormino',http://pbs.twimg.com/profile_images/1131228408073998336/V6GUvACM_normal.jpg,111
2019-06-21 15:11:05,b'@tipsymerlot Yes! I am an entj \xf0\x9f\x92\xaa Whats wrong?',b'blaxmatcha',http://pbs.twimg.com/profile_images/1145276678840569858/uDrmbM4H_normal.jpg,2963
